Full Link,Text
https://app.codecrafters.io/catalog,Print a prompt
https://app.codecrafters.io/courses/shell/stages/cz2,Handle invalid commands
https://app.codecrafters.io/courses/shell/stages/ff0,REPL
https://app.codecrafters.io/courses/shell/stages/pn5,The exit builtin
https://app.codecrafters.io/courses/shell/stages/iz3,The echo builtin
https://app.codecrafters.io/courses/shell/stages/ez5,The type builtin: builtins
https://app.codecrafters.io/courses/shell/stages/mg5,The type builtin: executable files
https://app.codecrafters.io/courses/shell/stages/ip1,Run a program
https://app.codecrafters.io/courses/shell/stages/ei0,The pwd builtin
https://app.codecrafters.io/courses/shell/stages/ra6,The cd builtin: Absolute paths
https://app.codecrafters.io/courses/shell/stages/gq9,The cd builtin: Relative paths
https://app.codecrafters.io/courses/shell/stages/gp4,The cd builtin: Home directory
https://app.codecrafters.io/courses/shell/stages/ni6,Single quotes
https://app.codecrafters.io/courses/shell/stages/tg6,Double quotes
https://app.codecrafters.io/courses/shell/stages/yt5,Backslash outside quotes
https://app.codecrafters.io/courses/shell/stages/le5,Backslash within single quotes
https://app.codecrafters.io/courses/shell/stages/gu3,Backslash within double quotes
https://app.codecrafters.io/courses/shell/stages/qj0,Executing a quoted executable
https://app.codecrafters.io/courses/shell/stages/jv1,Redirect stdout
https://app.codecrafters.io/courses/shell/stages/vz4,Redirect stderr
https://app.codecrafters.io/courses/shell/stages/el9,Append stdout
https://app.codecrafters.io/courses/shell/stages/un3,Append stderr
https://app.codecrafters.io/courses/shell/stages/qp2,Builtin completion
https://app.codecrafters.io/courses/shell/stages/gm9,Completion with arguments
https://app.codecrafters.io/courses/shell/stages/qm8,Missing completions
https://app.codecrafters.io/courses/shell/stages/gy5,Executable completion
https://app.codecrafters.io/courses/shell/stages/wh6,Multiple completions
https://app.codecrafters.io/courses/shell/stages/wt6,Partial completions
https://app.codecrafters.io/courses/grep/stages/cq2,Match a literal character
https://app.codecrafters.io/courses/grep/stages/oq2,Match digits
https://app.codecrafters.io/courses/grep/stages/mr9,Match alphanumeric characters
https://app.codecrafters.io/courses/grep/stages/tl6,Positive Character Groups
https://app.codecrafters.io/courses/grep/stages/rk3,Negative Character Groups
https://app.codecrafters.io/courses/grep/stages/sh9,Combining Character Classes
https://app.codecrafters.io/courses/grep/stages/rr8,Start of string anchor
https://app.codecrafters.io/courses/grep/stages/ao7,End of string anchor
https://app.codecrafters.io/courses/grep/stages/fz7,Match one or more times
https://app.codecrafters.io/courses/grep/stages/ny8,Match zero or one times
https://app.codecrafters.io/courses/grep/stages/zb3,Wildcard
https://app.codecrafters.io/courses/grep/stages/zm7,Alternation
https://app.codecrafters.io/courses/grep/stages/sb5,Single Backreference
https://app.codecrafters.io/courses/grep/stages/tg1,Multiple Backreferences
https://app.codecrafters.io/courses/grep/stages/xe5,Nested Backreferences
https://app.codecrafters.iohttps://craftinginterpreters.com/,Scanning: Empty file
https://app.codecrafters.io/courses/interpreter/stages/ol4,Scanning: Parentheses
https://app.codecrafters.io/courses/interpreter/stages/oe8,Scanning: Braces
https://app.codecrafters.io/courses/interpreter/stages/xc5,Scanning: Other single-character tokens
https://app.codecrafters.io/courses/interpreter/stages/ea6,Scanning: Lexical errors
https://app.codecrafters.io/courses/interpreter/stages/mp7,Scanning: Assignment &amp; equality Operators
https://app.codecrafters.io/courses/interpreter/stages/bu3,Scanning: Negation &amp; inequality operators
https://app.codecrafters.io/courses/interpreter/stages/et2,Scanning: Relational operators
