Full Link,Text
https://app.codecrafters.io/catalog,Print a prompt
https://app.codecrafters.io/courses/shell/stages/cz2,Handle invalid commands
https://app.codecrafters.io/courses/shell/stages/ff0,REPL
https://app.codecrafters.io/courses/shell/stages/pn5,The exit builtin
https://app.codecrafters.io/courses/shell/stages/iz3,The echo builtin
https://app.codecrafters.io/courses/shell/stages/ez5,The type builtin: builtins
https://app.codecrafters.io/courses/shell/stages/mg5,The type builtin: executable files
https://app.codecrafters.io/courses/shell/stages/ip1,Run a program
https://app.codecrafters.io/courses/shell/stages/ei0,The pwd builtin
https://app.codecrafters.io/courses/shell/stages/ra6,The cd builtin: Absolute paths
https://app.codecrafters.io/courses/shell/stages/gq9,The cd builtin: Relative paths
https://app.codecrafters.io/courses/shell/stages/gp4,The cd builtin: Home directory
https://app.codecrafters.io/courses/shell/stages/ni6,Single quotes
https://app.codecrafters.io/courses/shell/stages/tg6,Double quotes
https://app.codecrafters.io/courses/shell/stages/yt5,Backslash outside quotes
https://app.codecrafters.io/courses/shell/stages/le5,Backslash within single quotes
https://app.codecrafters.io/courses/shell/stages/gu3,Backslash within double quotes
https://app.codecrafters.io/courses/shell/stages/qj0,Executing a quoted executable
https://app.codecrafters.io/courses/shell/stages/jv1,Redirect stdout
