Full Link,Text,Tags
https://app.codecrafters.io/tracks/php/courses/shell/stages/oo8,Print a prompt,print | prompt
https://app.codecrafters.io/tracks/php/courses/shell/stages/cz2,Handle invalid commands,commands | handle | invalid
https://app.codecrafters.io/tracks/php/courses/shell/stages/ff0,REPL,repl
https://app.codecrafters.io/tracks/php/courses/shell/stages/pn5,The exit builtin,builtin | exit
https://app.codecrafters.io/tracks/php/courses/shell/stages/iz3,The echo builtin,builtin | echo
https://app.codecrafters.io/tracks/php/courses/shell/stages/ez5,The type builtin: builtins,builtin | builtins | type
https://app.codecrafters.io/tracks/php/courses/shell/stages/mg5,The type builtin: executable files,builtin | executable | files | type
https://app.codecrafters.io/tracks/php/courses/shell/stages/ip1,Run a program,program | run
https://app.codecrafters.io/tracks/php/courses/shell/stages/ei0,The pwd builtin,builtin | pwd
https://app.codecrafters.io/tracks/php/courses/shell/stages/ra6,The cd builtin: Absolute paths,absolute | builtin | cd | paths
https://app.codecrafters.io/tracks/php/courses/shell/stages/gq9,The cd builtin: Relative paths,builtin | cd | paths | relative
https://app.codecrafters.io/tracks/php/courses/shell/stages/gp4,The cd builtin: Home directory,builtin | cd | directory | home
https://app.codecrafters.io/tracks/php/courses/shell/stages/ni6,Single quotes,quotes | single
https://app.codecrafters.io/tracks/php/courses/shell/stages/tg6,Double quotes,double | quotes
https://app.codecrafters.io/tracks/php/courses/shell/stages/yt5,Backslash outside quotes,backslash | outside | quotes
https://app.codecrafters.io/tracks/php/courses/shell/stages/le5,Backslash within single quotes,backslash | quotes | single | within
https://app.codecrafters.io/tracks/php/courses/shell/stages/gu3,Backslash within double quotes,backslash | double | quotes | within
https://app.codecrafters.io/tracks/php/courses/shell/stages/qj0,Executing a quoted executable,executable | executing | quoted
https://app.codecrafters.io/tracks/php/courses/shell/stages/jv1,Redirect stdout,redirect | stdout
https://app.codecrafters.io/tracks/php/courses/shell/stages/vz4,Redirect stderr,redirect | stderr
https://app.codecrafters.io/tracks/php/courses/shell/stages/el9,Append stdout,append | stdout
https://app.codecrafters.io/tracks/php/courses/shell/stages/un3,Append stderr,append | stderr
https://app.codecrafters.io/tracks/php/courses/shell/stages/qp2,Builtin completion,builtin | completion
https://app.codecrafters.io/tracks/php/courses/shell/stages/gm9,Completion with arguments,arguments | completion
https://app.codecrafters.io/tracks/php/courses/shell/stages/qm8,Missing completions,completions | missing
https://app.codecrafters.io/tracks/php/courses/shell/stages/gy5,Executable completion,completion | executable
https://app.codecrafters.io/tracks/php/courses/shell/stages/wh6,Multiple completions,completions | multiple
https://app.codecrafters.io/tracks/php/courses/shell/stages/wt6,Partial completions,completions | partial
https://app.codecrafters.io/tracks/php/courses/grep/stages/cq2,Match a literal character,character | literal | match
https://app.codecrafters.io/tracks/php/courses/grep/stages/oq2,Match digits,digits | match
https://app.codecrafters.io/tracks/php/courses/grep/stages/mr9,Match alphanumeric characters,alphanumeric | characters | match
